Filename	LLM_EP0902
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	14/04/2025
Sample name	LLM_EP0902
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.90	32.18	-0.090
0.91	32.19	-0.090
0.91	32.21	-0.090
0.91	32.23	-0.090
0.91	32.25	-0.090
0.91	32.26	-0.090
0.92	32.28	-0.090
0.92	32.30	-0.090
0.92	32.31	-0.090
0.92	32.33	-0.090
0.92	32.35	-0.090
0.92	32.36	-0.090
0.93	32.38	-0.090
0.93	32.40	-0.090
0.93	32.41	-0.090
0.93	32.43	-0.090
0.93	32.45	-0.090
0.93	32.46	-0.090
0.93	32.48	-0.090
0.94	32.50	-0.090
0.94	32.51	-0.090
0.94	32.53	-0.090
0.94	32.55	-0.090
0.94	32.56	-0.090
0.95	32.58	-0.090
0.95	32.60	-0.090
0.95	32.61	-0.090
0.95	32.63	-0.090
0.95	32.65	-0.090
0.95	32.66	-0.090
0.95	32.68	-0.090
0.96	32.70	-0.090
0.96	32.71	-0.090
0.96	32.73	-0.090
0.96	32.75	-0.090
0.96	32.76	-0.090
0.97	32.78	-0.090
0.97	32.80	-0.090
0.97	32.82	-0.090
0.97	32.83	-0.090
0.97	32.85	-0.090
0.97	32.87	-0.090
0.98	32.88	-0.090
0.98	32.90	-0.090
0.98	32.92	-0.089
0.98	32.93	-0.089
0.98	32.95	-0.089
0.98	32.97	-0.089
0.98	32.98	-0.089
0.99	33.00	-0.089
0.99	33.02	-0.089
0.99	33.03	-0.089
0.99	33.05	-0.089
0.99	33.07	-0.089
1.00	33.08	-0.089
1.00	33.10	-0.089
1.00	33.12	-0.089
1.00	33.13	-0.089
1.00	33.15	-0.089
1.00	33.17	-0.089
1.00	33.18	-0.089
1.01	33.20	-0.089
1.01	33.22	-0.089
1.01	33.24	-0.089
1.01	33.25	-0.089
1.01	33.27	-0.089
1.02	33.28	-0.089
1.02	33.30	-0.089
1.02	33.32	-0.089
1.02	33.33	-0.089
1.02	33.35	-0.089
1.02	33.37	-0.089
1.03	33.38	-0.089
1.03	33.40	-0.089
1.03	33.42	-0.089
1.03	33.44	-0.089
1.03	33.45	-0.089
1.03	33.47	-0.089
1.03	33.49	-0.089
1.04	33.50	-0.089
1.04	33.52	-0.089
1.04	33.54	-0.089
1.04	33.55	-0.089
1.04	33.57	-0.089
1.05	33.59	-0.089
1.05	33.60	-0.089
1.05	33.62	-0.089
1.05	33.64	-0.089
1.05	33.65	-0.089
1.05	33.67	-0.089
1.05	33.69	-0.089
1.06	33.70	-0.089
1.06	33.72	-0.089
1.06	33.74	-0.089
1.06	33.75	-0.089
1.06	33.77	-0.089
1.07	33.79	-0.089
1.07	33.80	-0.089
1.07	33.82	-0.089
1.07	33.84	-0.089
1.07	33.85	-0.089
1.07	33.87	-0.089
1.08	33.89	-0.089
1.08	33.90	-0.089
1.08	33.92	-0.089
1.08	33.94	-0.089
1.08	33.95	-0.089
1.08	33.97	-0.089
1.08	33.99	-0.089
1.09	34.00	-0.089
1.09	34.02	-0.089
1.09	34.04	-0.089
1.09	34.06	-0.089
1.09	34.07	-0.089
1.09	34.09	-0.089
1.10	34.10	-0.089
1.10	34.12	-0.089
1.10	34.14	-0.089
1.10	34.16	-0.089
1.10	34.17	-0.089
1.11	34.19	-0.089
1.11	34.21	-0.089
1.11	34.22	-0.089
1.11	34.24	-0.089
1.11	34.26	-0.089
1.11	34.27	-0.089
1.12	34.29	-0.089
1.12	34.31	-0.089
1.12	34.32	-0.089
1.12	34.34	-0.089
1.12	34.36	-0.089
1.12	34.37	-0.089
1.13	34.39	-0.089
1.13	34.41	-0.089
1.13	34.42	-0.089
1.13	34.44	-0.089
1.13	34.46	-0.089
1.13	34.47	-0.089
1.13	34.49	-0.089
1.14	34.51	-0.089
1.14	34.52	-0.089
1.14	34.54	-0.089
1.14	34.56	-0.089
1.14	34.57	-0.089
1.14	34.59	-0.089
1.15	34.61	-0.089
1.15	34.62	-0.089
1.15	34.64	-0.089
1.15	34.66	-0.089
1.15	34.67	-0.089
1.16	34.69	-0.089
1.16	34.71	-0.089
1.16	34.72	-0.089
1.16	34.74	-0.089
1.16	34.76	-0.089
1.16	34.77	-0.089
1.17	34.79	-0.089
1.17	34.81	-0.089
1.17	34.82	-0.089
1.17	34.84	-0.089
1.17	34.86	-0.089
1.17	34.87	-0.089
1.18	34.89	-0.089
1.18	34.91	-0.089
1.18	34.92	-0.089
1.18	34.94	-0.089
1.18	34.96	-0.089
1.18	34.97	-0.089
1.18	34.99	-0.089
1.19	35.01	-0.089
1.19	35.02	-0.089
1.19	35.04	-0.089
1.19	35.06	-0.089
1.19	35.07	-0.089
1.19	35.09	-0.089
1.20	35.11	-0.089
1.20	35.12	-0.089
1.20	35.14	-0.089
1.20	35.16	-0.089
1.20	35.17	-0.089
1.21	35.19	-0.089
1.21	35.21	-0.089
1.21	35.22	-0.089
1.21	35.24	-0.089
1.21	35.26	-0.089
1.21	35.27	-0.089
1.22	35.29	-0.089
1.22	35.31	-0.090
1.22	35.32	-0.090
1.22	35.34	-0.090
1.22	35.36	-0.090
1.22	35.37	-0.090
1.23	35.39	-0.090
1.23	35.41	-0.089
1.23	35.42	-0.089
1.23	35.44	-0.089
1.23	35.46	-0.089
1.23	35.47	-0.089
1.23	35.49	-0.089
1.24	35.51	-0.089
1.24	35.53	-0.089
1.24	35.54	-0.089
1.24	35.56	-0.089
1.24	35.58	-0.089
1.24	35.59	-0.089
1.25	35.61	-0.089
1.25	35.62	-0.090
1.25	35.64	-0.090
1.25	35.66	-0.090
1.25	35.67	-0.090
1.26	35.69	-0.090
1.26	35.71	-0.090
1.26	35.72	-0.090
1.26	35.74	-0.090
1.26	35.76	-0.090
1.26	35.78	-0.090
1.27	35.79	-0.090
1.27	35.81	-0.090
1.27	35.83	-0.090
1.27	35.84	-0.090
1.27	35.86	-0.090
1.27	35.88	-0.090
1.28	35.89	-0.090
1.28	35.91	-0.090
1.28	35.93	-0.090
1.28	35.94	-0.090
1.28	35.96	-0.090
1.28	35.97	-0.090
1.28	35.99	-0.090
1.29	36.01	-0.090
1.29	36.03	-0.090
1.29	36.04	-0.090
1.29	36.06	-0.090
1.29	36.08	-0.090
1.29	36.09	-0.090
1.30	36.11	-0.090
1.30	36.13	-0.090
1.30	36.14	-0.090
1.30	36.16	-0.090
1.30	36.18	-0.090
1.31	36.19	-0.090
1.31	36.21	-0.090
1.31	36.23	-0.090
1.31	36.24	-0.090
1.31	36.26	-0.090
1.31	36.28	-0.090
1.32	36.29	-0.090
1.32	36.31	-0.090
1.32	36.33	-0.090
1.32	36.34	-0.090
1.32	36.36	-0.090
1.32	36.38	-0.090
1.33	36.39	-0.090
1.33	36.41	-0.090
1.33	36.43	-0.090
1.33	36.44	-0.090
1.33	36.46	-0.090
1.33	36.48	-0.091
1.33	36.49	-0.091
1.34	36.51	-0.091
1.34	36.53	-0.091
1.34	36.54	-0.091
1.34	36.56	-0.091
1.34	36.58	-0.091
1.34	36.59	-0.091
1.35	36.61	-0.091
1.35	36.63	-0.091
1.35	36.64	-0.091
1.35	36.66	-0.091
1.35	36.68	-0.091
