Filename	LLM_EP10_Cur
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/05/2025
Sample name	LLM_EP10_Cur
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.46	27.94	-0.202
0.47	27.96	-0.201
0.47	27.98	-0.200
0.47	27.99	-0.200
0.47	28.01	-0.200
0.47	28.03	-0.199
0.48	28.05	-0.199
0.48	28.06	-0.199
0.48	28.08	-0.198
0.48	28.10	-0.198
0.48	28.12	-0.198
0.48	28.13	-0.197
0.49	28.15	-0.197
0.49	28.17	-0.196
0.49	28.19	-0.195
0.49	28.20	-0.195
0.49	28.22	-0.195
0.49	28.24	-0.195
0.50	28.25	-0.194
0.50	28.27	-0.194
0.50	28.29	-0.194
0.50	28.31	-0.194
0.50	28.33	-0.194
0.50	28.34	-0.193
0.50	28.36	-0.193
0.51	28.38	-0.192
0.51	28.39	-0.192
0.51	28.41	-0.191
0.51	28.43	-0.191
0.51	28.45	-0.190
0.51	28.47	-0.190
0.52	28.48	-0.190
0.52	28.50	-0.189
0.52	28.52	-0.189
0.52	28.53	-0.189
0.52	28.55	-0.189
0.53	28.57	-0.189
0.53	28.58	-0.189
0.53	28.60	-0.188
0.53	28.62	-0.188
0.53	28.64	-0.188
0.53	28.65	-0.187
0.53	28.67	-0.187
0.54	28.69	-0.187
0.54	28.71	-0.186
0.54	28.72	-0.186
0.54	28.74	-0.185
0.54	28.76	-0.185
0.55	28.77	-0.185
0.55	28.79	-0.184
0.55	28.81	-0.184
0.55	28.83	-0.184
0.55	28.84	-0.184
0.55	28.86	-0.184
0.55	28.88	-0.183
0.56	28.90	-0.183
0.56	28.91	-0.183
0.56	28.93	-0.182
0.56	28.95	-0.182
0.56	28.96	-0.182
0.57	28.98	-0.182
0.57	29.00	-0.182
0.57	29.01	-0.181
0.57	29.03	-0.181
0.57	29.05	-0.181
0.57	29.07	-0.181
0.58	29.08	-0.181
0.58	29.10	-0.180
0.58	29.12	-0.180
0.58	29.13	-0.179
0.58	29.15	-0.179
0.58	29.17	-0.178
0.58	29.19	-0.178
0.59	29.20	-0.178
0.59	29.22	-0.177
0.59	29.24	-0.177
0.59	29.25	-0.177
0.59	29.27	-0.177
0.60	29.29	-0.177
0.60	29.30	-0.177
0.60	29.32	-0.177
0.60	29.34	-0.177
0.60	29.36	-0.177
0.60	29.37	-0.177
0.60	29.39	-0.176
0.61	29.41	-0.176
0.61	29.42	-0.176
0.61	29.44	-0.176
0.61	29.46	-0.175
0.61	29.48	-0.175
0.62	29.49	-0.174
0.62	29.51	-0.174
