Filename	LLM_EP0904_15%01_Oscillatory temperature sweep_Flow
Instrument name	5333-0626
Operator	liming
rundate	14/05/2025
Sample name	LLM_EP0904_15%01_Oscillatory temperature sweep_Flow
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Sample
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Temperature ramp - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
349.665	193.957	0.554694	10.0001	3188.54	2277.04	73.92	23.2006	2.44179e-5
361.961	195.330	0.539644	10.0001	3265.93	2283.29	73.68	22.5338	2.44733e-5
376.194	196.998	0.523662	10.0001	3338.07	2290.20	73.45	21.8132	2.44067e-5
389.708	198.343	0.508953	10.0001	3420.78	2297.00	73.23	21.1488	2.44593e-5
401.152	199.307	0.496837	10.0001	3497.70	2303.31	73.00	20.6007	2.45579e-5
414.723	199.907	0.482026	10.0001	3562.17	2310.15	72.78	19.9387	2.45025e-5
428.865	200.897	0.468439	10.0001	3636.18	2316.99	72.55	19.3161	2.44877e-5
442.054	200.976	0.454641	10.0001	3713.58	2323.82	72.29	18.7003	2.45517e-5
455.564	201.221	0.441696	10.0001	3782.86	2330.82	72.12	18.1140	2.45491e-5
469.171	200.730	0.427840	10.0001	3853.72	2337.53	71.90	17.4982	2.45697e-5
482.823	199.924	0.414073	10.0001	3922.49	2344.44	71.66	16.8882	2.45827e-5
496.709	199.499	0.401643	10.0001	3990.30	2351.27	71.39	16.3273	2.45799e-5
510.529	199.057	0.389904	10.0001	4059.94	2358.14	71.18	15.7949	2.45921e-5
524.601	198.601	0.378576	10.0001	4128.69	2364.97	70.99	15.2788	2.45945e-5
538.025	197.622	0.367310	10.0001	4198.03	2371.68	70.77	14.7734	2.46289e-5
551.704	196.867	0.356834	10.0001	4262.50	2378.58	70.50	14.2980	2.46272e-5
